species;w_inf;w_mat;beta;sigma;r_max;k_vb;common_name;t0;a;b;l50;egg_length;detQ;scavQ;adult_max_length;w_min
Small worms DF;0.00624;0.00156;283;1.8;79000;0.6;Bad parameters;-0.1;0.00624;3.1497;13.2;;1;0;1;0.001
Small crustacea DF;0.00624;0.00156;283;1.8;79000;0.6;Bad parameters;-0.1;0.00624;3.1497;13.2;;1;0;1;0.001
Large worms DF;0.3227273033;0.0806818258;283;1.8;79000;0.6;Bad parameters;-0.1;0.00624;3.1497;13.2;;1;0;3.5;0.001
Large crustacea DF;0.3227273033;0.0806818258;283;1.8;79000;0.6;Bad parameters;-0.1;0.00624;3.1497;13.2;;1;0;3.5;0.001
Large crustacea P/S;0.3227273033;0.0806818258;283;1.8;79000;0.6;Bad parameters;-0.1;0.00624;3.1497;13.2;;0;1;3.5;0.001
Large worms P/S;0.3227273033;0.0806818258;283;1.8;79000;0.6;Bad parameters;-0.1;0.00624;3.1497;13.2;;0;1;3.5;0.001
Astropecten irregularis;31.5877889984;7.8969472496;283;1.8;79000;0.6;Bad parameters;-0.1;0.00624;3.1497;13.2;;0;1;15;0.001
Nucula nucleus;0.0223778948;0.0055944737;283;1.8;79000;0.6;Bad parameters;-0.1;0.00624;3.1497;13.2;;1;0;1.5;0.001
Bolinus brandaris;0.4914653957;0.1228663489;283;1.8;79000;0.6;Bad parameters;-0.1;0.00624;3.1497;13.2;;0;1;4;0.001
Turritella communis;0.0223778948;0.0055944737;283;1.8;79000;0.6;Bad parameters;-0.1;0.00624;3.1497;13.2;;1;0;1.5;0.001
Goneplax rhomboides;0.9924997644;0.2481249411;283;1.8;79000;0.6;Bad parameters;-0.1;0.00624;3.1497;13.2;;0;1;5;0.001
Liocarcinus depurator;0.9924997644;0.2481249411;283;1.8;79000;0.6;Bad parameters;-0.1;0.00624;3.1497;13.2;;0;1;5;0.001
Alpheus glaber;0.00624;0.00156;283;1.8;79000;0.6;Bad parameters;-0.1;0.00624;3.1497;13.2;;0;1;1;0.001
Citharus linguatula;251.94;16.48;283;1.8;79000;0.6;Red mullet copy;-0.1;0.00624;3.1497;13.2;3;0;0;;0.1985973301
Gobius niger;251.94;16.48;283;1.8;79000;0.6;Red mullet copy;-0.1;0.00624;3.1497;13.2;3;0;0;;0.1985973301
Triglidae;251.94;16.48;283;1.8;79000;0.6;Red mullet copy;-0.1;0.00624;3.1497;13.2;3;0;0;;0.1985973301
Mullus barbatus;251.94;16.48;283;1.8;79000;0.6;Red mullet;-0.1;0.00624;3.1497;13.2;3;0;0;;0.1985973301
Mullus surmuletus ;251.94;16.48;283;1.8;79000;0.6;Red mullet copy;-0.1;0.00624;3.1497;13.2;3;0;0;;0.1985973301
Merluccius merluccius;10470.1;246.83;283;1.8;681489;0.178;Hake ;-0.0028;0.00667;3.035097;10.54;3.5;0;0;;0.2988306387
Lophius spp;10470.1;246.83;283;1.8;681489;0.178;Anglerfish ;-0.0028;0.00667;3.035097;10.54;3;0;0;;0.1871695183
Trisopterus minutus;96.13;21.09;283;1.8;21463;0.39;Poor cod;-1.62;0.0075;3.06;12.47;3;0;0;;0.2162978999
Trachurus spp;511.47;88.52;283;1.8;54300;0.266;Horse mackerel ;0.7;0.011825;2.886;12.46;3;0;0;;0.2816910772
Illex coindietii;755.97;305.68;283;1.8;125000;0.2;Southern shortfin squid ;0;0.0188;3.2;17.383;3;0;0;;0.6323330249
Micromesistiu poutassou;666.62;20.49;283;1.8;150000;0.35;Blue whiting;0;0.004;3.154;17.383;3;0;0;;0.1279088012
Eledone cirrhosa ;251.94;16.48;283;1.8;79000;0.6;Red mullet copy;-0.1;0.00624;3.1497;13.2;3;0;0;;0.1985973301
