species,w_inf,w_mat,beta,sigma,R_max,k_vb
Sprat,33,13,51076,0.8,738000000000,0.681
Sandeel,36,4,398849,1.9,410000000000,1
N.pout,100,23,22,1.5,10500000000000,0.849
Herring,334,99,280540,3.2,1110000000000,0.606
Dab,324,21,191,1.9,11200000000,0.536
Whiting,1192,75,22,1.5,548000000000,0.323
Sole,866,78,381,1.9,38700000000,0.284
Gurnard,668,39,283,1.8,1650000000000,0.266
Plaice,2976,105,113,1.6,408000000000000,0.122
Haddock,3485,165,558,2.1,1840000000000,0.271
Cod,40044,1606,66,1.3,8260000000,0.216
Saithe,16856,1076,40,1.1,112000000000,0.175
